Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Corey Kluber","TBR",10,10,0,31,31,164,7.628048780487805,1.1524390243902438,1.0975609756097562,0.3166332665330661,0.70165746,0.36078431,0.09345794,89.12317315463362,4.335365853658536,4,3.56974807483394,3.9160837604868703,3.0238547325134277,"Corey Kluber",2429,446372
"Kyle Wright","ATL",21,5,0,30,30,180.1,8.68391891405931,2.64510173819048,0.948244019351304,0.2836438923395445,0.78892372,0.5562249,0.14393939,95.05595721797323,3.194085117814919,3.89,3.5837803680074236,3.2976921602479696,2.884730100631714,"Kyle Wright",19665,657140
"Pablo López","MIA",10,10,0,32,32,180,8.7,2.65,1.05,0.2833333333333333,0.74231177,0.46092184,0.12650602,93.54571733584739,3.75,3.75,3.7124310016632083,3.5609938964247707,2.825287103652954,"Pablo Lopez",17085,641154
"Adam Wainwright","STL",11,12,0,32,32,191.2,6.714782965076371,2.535652308490378,0.7513043877008527,0.3018867924528302,0.75021683,0.43238731,0.08121827,88.11704228624535,3.7095654142729604,4.53,3.66025711769508,4.096602041269963,2.8252029418945312,"Adam Wainwright",2233,425794
"Miles Mikolas","STL",12,13,0,33,32,202.1,6.805601489036635,1.7347611638720835,1.1120263870974894,0.24914089347079038,0.74444444,0.45033113,0.11904762,93.56545361605558,3.2915981058085686,3.89,3.8735512843877125,3.803753464665656,2.7528913617134094,"Miles Mikolas",9803,571945
"Jordan Montgomery","- - -",9,6,0,32,32,178.1,7.973832003123403,1.8168224817243197,1.0598131143391865,0.2754491017964072,0.75460829,0.47563353,0.12962963,93.09114292689732,3.482243089971613,4,3.6114964364578515,3.4254394784854028,2.6855926513671875,"Jordan Montgomery",16511,656756
"Chris Bassitt","NYM",15,9,0,30,30,181.2,8.273394958686197,2.427523071710321,0.9412844563774715,0.28169014084507044,0.77160494,0.48828125,0.1091954,93.32805049386921,3.418348815265554,3.46,3.6573851606185865,3.7156472351952115,2.670788049697876,"Chris Bassitt",12304,605135
"Kyle Freeland","COL",9,11,0,31,31,174.2,6.75000039311768,2.7309161895819623,0.9790076906048544,0.3180987202925046,0.70518267,0.41964286,0.09547739,90.4052251218141,4.53435140911722,5.14,4.2116677069037465,4.484149658198797,2.575049877166748,"Kyle Freeland",16256,607536
"Jameson Taillon","NYY",14,5,0,32,32,177.1,7.663534054391446,1.6240601969571278,1.3195489100276663,0.27626459143968873,0.75326216,0.40074906,0.12380952,94.05187406994048,3.9078948489280885,4.2,3.941378393860075,3.788432382882577,2.2617154121398926,"Jameson Taillon",11674,592791
"Cal Quantrill","CLE",15,5,0,32,32,186.1,6.182468862856866,2.2701252855802556,1.0143112978124547,0.2783687943262411,0.76361868,0.42114385,0.09633028,93.88110296201815,3.3810376593748486,4.31,4.121375573032211,4.388212056503308,2.1815500259399414,"Cal Quantrill",19312,615698
